
*********************************************************************

   Se leyeron los datos del archivo: ENTRADA.TXT
   Se graba la salida en el archivo: SALIDA.TXT

*********************************************************************

*****************************************************
*CASODEPRUEBAPARAELCAREMCONXENONYQUEMADO*
*****************************************************

Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
 96  1.6928E-04    2.2604E-06      0.845716    0.91728      1.000
 97  1.6064E-04    1.1246E-07      0.845716    0.94898      1.000
 98  1.5102E-04    2.6140E-07      0.845716    0.94011      1.000
 99  1.3814E-04    1.2639E-06      0.845715    0.91467      1.000
100  1.3013E-04    3.8229E-07      0.845715    0.94207      1.000
101  1.2404E-04    6.1553E-07      0.845715    0.95318      1.000
102  1.1526E-04    1.6892E-06      0.845714    0.92925      1.000
103  1.0682E-04    6.2540E-07      0.845714    0.92672      1.000
104  1.0154E-04    3.8541E-07      0.845714    0.95055      1.000
105  9.4912E-05    7.1844E-07      0.845713    0.93477      1.000
106  8.7210E-05    1.5288E-07      0.845714    0.91884      1.000
107  8.2755E-05    1.2727E-08      0.845713    0.94893      1.000
108  7.8610E-05    1.0074E-06      0.845713    0.94991      1.000
109  7.2099E-05    7.6622E-07      0.845713    0.91717      1.000
110  6.7935E-05    6.9586E-07      0.845713    0.94224      1.000
111  6.4307E-05    2.4807E-07      0.845712    0.94660      1.000
112  5.8984E-05    2.7087E-07      0.845713    0.91723      1.000
113  5.5462E-05    3.1098E-07      0.845712    0.94029      1.000
114  5.2718E-05    4.9263E-07      0.845712    0.95053      1.000
115  4.8665E-05    6.4819E-07      0.845713    0.92312      1.000
116  4.5590E-05    7.3298E-07      0.845712    0.93681      1.000
117  4.3249E-05    1.8850E-08      0.845712    0.94864      1.000
118  4.0067E-05    2.6325E-07      0.845712    0.92643      1.000
119  3.7216E-05    4.2966E-07      0.845712    0.92885      1.000
120  3.5567E-05    1.5089E-07      0.845712    0.95567      1.000
121  3.3027E-05    4.7220E-07      0.845712    0.92858      1.000
122  3.0340E-05    6.6645E-07      0.845712    0.91866      1.000
123  2.9163E-05    1.7374E-07      0.845712    0.96122      1.000
124  2.7142E-05    1.9446E-07      0.845712    0.93069      1.000
125  2.4541E-05    4.4605E-07      0.845711    0.90417      1.000
126  2.3654E-05    7.5605E-08      0.845712    0.96385      1.000
127  2.2181E-05    2.7492E-07      0.845712    0.93772      1.000
128  1.9823E-05    5.3670E-07      0.845711    0.89371      1.000
129  1.8927E-05    2.4990E-07      0.845712    0.95477      1.000
130  1.7848E-05    8.9583E-08      0.845712    0.94303      1.000
131  1.5871E-05    3.7250E-07      0.845711    0.88922      1.000
132  1.4934E-05    1.8147E-07      0.845711    0.94096      1.000
133  1.4131E-05    1.1056E-07      0.845712    0.94624      1.000
134  1.2628E-05    3.7954E-07      0.845711    0.89367      1.000
135  1.1764E-05    2.4978E-07      0.845711    0.93154      1.000
136  1.1166E-05    6.6092E-09      0.845711    0.94919      1.000
137  1.0057E-05    2.6738E-07      0.845711    0.90066      1.000
138  9.2670E-06    1.9812E-07      0.845711    0.92145      1.000
139  8.8424E-06    9.6482E-09      0.845711    0.95419      1.000
140  8.0180E-06    2.4506E-07      0.845711    0.90676      1.000
141  7.3220E-06    2.1368E-07      0.845711    0.91320      1.000
142  7.0960E-06    4.3506E-08      0.845711    0.96913      1.000
143  6.4662E-06    1.7134E-07      0.845711    0.91125      1.000
144  5.8532E-06    1.7475E-07      0.845711    0.90521      1.000
145  5.7046E-06    4.5697E-08      0.845711    0.97460      1.000
146  5.2191E-06    1.4079E-07      0.845711    0.91491      1.000
147  4.6889E-06    1.6503E-07      0.845711    0.89841      1.000
148  4.5741E-06    6.9192E-08      0.845711    0.97552      1.000
149  4.2206E-06    9.1203E-08      0.845711    0.92271      1.000
150  3.7676E-06    1.3100E-07      0.845711    0.89266      1.000
151  3.6310E-06    6.6252E-08      0.845711    0.96377      1.000
152  3.3949E-06    6.5466E-08      0.845711    0.93498      1.000
153  3.0115E-06    1.1108E-07      0.845711    0.88706      1.000
154  2.8771E-06    6.9440E-08      0.845711    0.95537      1.000
155  2.7384E-06    3.6998E-08      0.845711    0.95179      1.000
156  2.4159E-06    8.4079E-08      0.845711    0.88222      1.000
157  2.2847E-06    6.0487E-08      0.845711    0.94570      1.000
158  2.1984E-06    2.2923E-08      0.845711    0.96221      1.000
159  1.9477E-06    6.7009E-08      0.845711    0.88597      1.000
160  1.8212E-06    5.5218E-08      0.845711    0.93505      1.000
161  1.7611E-06    9.8708E-09      0.845711    0.96697      1.000
162  1.5815E-06    5.0019E-08      0.845711    0.89804      1.000
163  1.4592E-06    4.6586E-08      0.845711    0.92267      1.000
164  1.4063E-06    3.4317E-09      0.845711    0.96371      1.000
165  1.2841E-06    3.8835E-08      0.845711    0.91311      1.000
166  1.1745E-06    4.0729E-08      0.845711    0.91465      1.000
167  1.1284E-06    2.4631E-09      0.845711    0.96081      1.000
168  1.0397E-06    2.8537E-08      0.845711    0.92140      1.000
169  9.4784E-07    3.4208E-08      0.845711    0.91162      1.000
170  9.0545E-07    5.6323E-09      0.845711    0.95528      1.000
171  8.3697E-07    2.0882E-08      0.845711    0.92437      1.000
172  7.6381E-07    2.8782E-08      0.845711    0.91259      1.000
173  7.2498E-07    7.9145E-09      0.845711    0.94916      1.000
174  6.7408E-07    1.4362E-08      0.845711    0.92980      1.000
175  6.1500E-07    2.3439E-08      0.845711    0.91235      1.000
176  5.7976E-07    8.7614E-09      0.845711    0.94270      1.000
177  5.4527E-07    9.4283E-09      0.845711    0.94051      1.000
178  4.9894E-07    1.8677E-08      0.845711    0.91503      1.000
179  4.6723E-07    8.6777E-09      0.845711    0.93645      1.000
180  4.4470E-07    5.8646E-09      0.845711    0.95178      1.000
181  4.0867E-07    1.4655E-08      0.845711    0.91897      1.000
182  3.8099E-07    8.1047E-09      0.845711    0.93226      1.000
183  3.6396E-07    3.2837E-09      0.845711    0.95532      1.000
184  3.3892E-07    1.1213E-08      0.845711    0.93118      1.000
185  3.1572E-07    7.0892E-09      0.845711    0.93156      1.000
186  3.0036E-07    1.7020E-09      0.845711    0.95135      1.000
187  2.8431E-07    8.6098E-09      0.845711    0.94655      1.000
188  2.6497E-07    6.1489E-09      0.845711    0.93200      1.000
189  2.4963E-07    5.5867E-10      0.845711    0.94209      1.000
190  2.3950E-07    6.4271E-09      0.845711    0.95942      1.000
191  2.2298E-07    5.0815E-09      0.845711    0.93105      1.000
192  2.0837E-07    2.3603E-11      0.845711    0.93448      1.000
193  2.0078E-07    4.8557E-09      0.845711    0.96353      1.000
194  1.8715E-07    4.2251E-09      0.845711    0.93215      1.000
195  1.7358E-07    4.4390E-10      0.845711    0.92745      1.000
196  1.6722E-07    3.5516E-09      0.845711    0.96339      1.000
197  1.5641E-07    3.3708E-09      0.845711    0.93537      1.000
198  1.4397E-07    5.7874E-10      0.845711    0.92042      1.000
199  1.3867E-07    2.6382E-09      0.845711    0.96319      1.000
200  1.2995E-07    2.7130E-09      0.845711    0.93713      1.000
201  1.1888E-07    6.6819E-10      0.845711    0.91478      1.000
202  1.1437E-07    1.8906E-09      0.845711    0.96212      1.000
203  1.0737E-07    2.1022E-09      0.845711    0.93876      1.000
204  9.7961E-08    6.2589E-10      0.845711    0.91239      1.000
205  9.3963E-08    1.3756E-09      0.845711    0.95918      1.000
206  8.8264E-08    1.6352E-09      0.845711    0.93935      1.000
207  8.0486E-08    5.7638E-10      0.845711    0.91188      1.000
208  7.6774E-08    9.6974E-10      0.845711    0.95388      1.000
209  7.2164E-08    1.2272E-09      0.845711    0.93995      1.000
210  6.5726E-08    4.7230E-10      0.845711    0.91079      1.000
211  6.2468E-08    7.0541E-10      0.845711    0.95043      1.000
212  5.8780E-08    9.2791E-10      0.845711    0.94096      1.000
213  5.3428E-08    3.8288E-10      0.845711    0.90895      1.000
214  5.0615E-08    5.1139E-10      0.845711    0.94734      1.000
215  4.7682E-08    6.9160E-10      0.845711    0.94207      1.000
216  4.3223E-08    2.9205E-10      0.845711    0.90648      1.000
217  4.0847E-08    3.8811E-10      0.845711    0.94503      1.000
218  3.8487E-08    5.2931E-10      0.845711    0.94222      1.000
219  3.4778E-08    2.3091E-10      0.845711    0.90363      1.000
220  3.2812E-08    2.9150E-10      0.845711    0.94348      1.000
221  3.0910E-08    4.0499E-10      0.845711    0.94201      1.000
222  2.7977E-08    1.8311E-10      0.845711    0.90514      1.000
223  2.6376E-08    2.1944E-10      0.845711    0.94275      1.000
224  2.4767E-08    3.1321E-10      0.845711    0.93900      1.000
225  2.2483E-08    1.5124E-10      0.845711    0.90777      1.000
226  2.1218E-08    1.5798E-10      0.845711    0.94374      1.000
227  1.9903E-08    2.3666E-10      0.845711    0.93804      1.000
228  1.8173E-08    1.2203E-10      0.845711    0.91306      1.000
229  1.7225E-08    1.1262E-10      0.845711    0.94785      1.000
230  1.6218E-08    1.7721E-10      0.845711    0.94156      1.000
231  1.4942E-08    9.7672E-11      0.845711    0.92128      1.000
232  1.4198E-08    7.8772E-11      0.845711    0.95023      1.000
233  1.3497E-08    1.3065E-10      0.845711    0.95065      1.000
234  1.2540E-08    7.6089E-11      0.845711    0.92910      1.000
235  1.1953E-08    5.6299E-11      0.845711    0.95316      1.000
236  1.1427E-08    9.7845E-11      0.845711    0.95598      1.000
237  1.0685E-08    6.0973E-11      0.845711    0.93505      1.000
238  1.0177E-08    3.8820E-11      0.845711    0.95246      1.000
239  9.6969E-09    7.3168E-11      0.845711    0.95286      1.000

Cálculo Estático de Flujo:
Tiempo para iteraciones: 0.8310
Num Iteraciones: 239



*****************************************************************
Instante = 0.0000

     Potencia Total = 100.0000    
Potencia neutrónica = 94.0026
  Potencia Residual = 5.9974
    Factor de Forma = 2.244
Pot Esp Máxima: 0.263   en el canal:  45  trozo:   7
     KE (estático) = 0.84571
  React (estática) = -18243.7 PCM


Potencias por canal
CAN  1 1.2674  CAN  2 1.4768  CAN  3 1.5954  CAN  4 1.5289  CAN  5 1.3978  CAN  6 1.7286  
CAN  7 1.4768  CAN  8 1.3808  CAN  9 1.6680  CAN 10 1.5954  CAN 11 1.2674  CAN 12 1.3808  
CAN 13 2.3149  CAN 14 1.6680  CAN 15 1.2674  CAN 16 1.3978  CAN 17 1.5466  CAN 18 2.6246  
CAN 19 1.3978  CAN 20 1.5954  CAN 21 2.3149  CAN 22 1.6283  CAN 23 2.3149  CAN 24 1.4768  
CAN 25 1.6680  CAN 26 1.6283  CAN 27 1.6283  CAN 28 1.3808  CAN 29 1.7286  CAN 30 2.6246  
CAN 31 1.3366  CAN 32 1.5466  CAN 33 1.5289  CAN 34 1.6680  CAN 35 1.6283  CAN 36 1.6283  
CAN 37 1.3808  CAN 38 1.5954  CAN 39 2.3149  CAN 40 1.6283  CAN 41 2.3149  CAN 42 1.4768  
CAN 43 1.3978  CAN 44 1.5466  CAN 45 2.6246  CAN 46 1.3978  CAN 47 1.2674  CAN 48 1.3808  
CAN 49 2.3149  CAN 50 1.6680  CAN 51 1.2674  CAN 52 1.4768  CAN 53 1.3808  CAN 54 1.6680  
CAN 55 1.5954  CAN 56 1.5289  CAN 57 1.3978  CAN 58 1.7286  CAN 59 1.4768  CAN 60 1.5954  
CAN 61 1.2674  

Potencias     Distribución espacial   T = 0.0000

      COL 1      COL 2      COL 3      COL 4      COL 5      COL 6      COL 7      COL 8   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.6513E-02  4.2657E-02  4.6063E-02  4.4180E-02  4.1014E-02  4.9912E-02  4.2657E-02  4.0631E-02
  5.8604E-02  6.8284E-02  7.3759E-02  7.0700E-02  6.4534E-02  7.9914E-02  6.8284E-02  6.3750E-02
  7.9766E-02  9.2931E-02  1.0039E-01  9.6210E-02  8.7872E-02  1.0877E-01  9.2931E-02  8.6788E-02
  9.7865E-02  1.1401E-01  1.2318E-01  1.1803E-01  1.0782E-01  1.3345E-01  1.1401E-01  1.0648E-01
  1.1211E-01  1.3060E-01  1.4110E-01  1.3521E-01  1.2351E-01  1.5288E-01  1.3060E-01  1.2197E-01
  1.2193E-01  1.4204E-01  1.5346E-01  1.4705E-01  1.3432E-01  1.6627E-01  1.4204E-01  1.3266E-01
  1.2693E-01  1.4788E-01  1.5977E-01  1.5309E-01  1.3984E-01  1.7310E-01  1.4788E-01  1.3810E-01
  1.2693E-01  1.4788E-01  1.5977E-01  1.5309E-01  1.3984E-01  1.7310E-01  1.4788E-01  1.3810E-01
  1.2193E-01  1.4204E-01  1.5346E-01  1.4705E-01  1.3432E-01  1.6627E-01  1.4204E-01  1.3266E-01
  1.1211E-01  1.3060E-01  1.4110E-01  1.3521E-01  1.2351E-01  1.5288E-01  1.3060E-01  1.2197E-01
  9.7865E-02  1.1401E-01  1.2318E-01  1.1803E-01  1.0782E-01  1.3345E-01  1.1401E-01  1.0648E-01
  7.9766E-02  9.2931E-02  1.0039E-01  9.6210E-02  8.7872E-02  1.0877E-01  9.2931E-02  8.6788E-02
  5.8604E-02  6.8284E-02  7.3759E-02  7.0700E-02  6.4534E-02  7.9914E-02  6.8284E-02  6.3750E-02
  3.6513E-02  4.2657E-02  4.6063E-02  4.4180E-02  4.1014E-02  4.9912E-02  4.2657E-02  4.0631E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 9      COL 10      COL 11      COL 12      COL 13      COL 14      COL 15      COL 16   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.8914E-02  4.6063E-02  3.6513E-02  4.0631E-02  6.7287E-02  4.8914E-02  3.6513E-02  4.1014E-02
  7.7011E-02  7.3759E-02  5.8604E-02  6.3750E-02  1.0702E-01  7.7011E-02  5.8604E-02  6.4534E-02
  1.0486E-01  1.0039E-01  7.9766E-02  8.6788E-02  1.4562E-01  1.0486E-01  7.9766E-02  8.7872E-02
  1.2867E-01  1.2318E-01  9.7865E-02  1.0648E-01  1.7865E-01  1.2867E-01  9.7865E-02  1.0782E-01
  1.4739E-01  1.4110E-01  1.1211E-01  1.2197E-01  2.0464E-01  1.4739E-01  1.1211E-01  1.2351E-01
  1.6030E-01  1.5346E-01  1.2193E-01  1.3266E-01  2.2256E-01  1.6030E-01  1.2193E-01  1.3432E-01
  1.6688E-01  1.5977E-01  1.2693E-01  1.3810E-01  2.3170E-01  1.6688E-01  1.2693E-01  1.3984E-01
  1.6688E-01  1.5977E-01  1.2693E-01  1.3810E-01  2.3170E-01  1.6688E-01  1.2693E-01  1.3984E-01
  1.6030E-01  1.5346E-01  1.2193E-01  1.3266E-01  2.2256E-01  1.6030E-01  1.2193E-01  1.3432E-01
  1.4739E-01  1.4110E-01  1.1211E-01  1.2197E-01  2.0464E-01  1.4739E-01  1.1211E-01  1.2351E-01
  1.2867E-01  1.2318E-01  9.7865E-02  1.0648E-01  1.7865E-01  1.2867E-01  9.7865E-02  1.0782E-01
  1.0486E-01  1.0039E-01  7.9766E-02  8.6788E-02  1.4562E-01  1.0486E-01  7.9766E-02  8.7872E-02
  7.7011E-02  7.3759E-02  5.8604E-02  6.3750E-02  1.0702E-01  7.7011E-02  5.8604E-02  6.4534E-02
  4.8914E-02  4.6063E-02  3.6513E-02  4.0631E-02  6.7287E-02  4.8914E-02  3.6513E-02  4.1014E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 17      COL 18      COL 19      COL 20      COL 21      COL 22      COL 23      COL 24   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.5633E-02  7.6156E-02  4.1014E-02  4.6063E-02  6.7287E-02  4.8062E-02  6.7287E-02  4.2657E-02
  7.1411E-02  1.2134E-01  6.4534E-02  7.3759E-02  1.0702E-01  7.5197E-02  1.0702E-01  6.8284E-02
  9.7196E-02  1.6511E-01  8.7872E-02  1.0039E-01  1.4562E-01  1.0234E-01  1.4562E-01  9.2931E-02
  1.1924E-01  2.0256E-01  1.0782E-01  1.2318E-01  1.7865E-01  1.2554E-01  1.7865E-01  1.1401E-01
  1.3659E-01  2.3203E-01  1.2351E-01  1.4110E-01  2.0464E-01  1.4381E-01  2.0464E-01  1.3060E-01
  1.4855E-01  2.5235E-01  1.3432E-01  1.5346E-01  2.2256E-01  1.5640E-01  2.2256E-01  1.4204E-01
  1.5465E-01  2.6272E-01  1.3984E-01  1.5977E-01  2.3170E-01  1.6282E-01  2.3170E-01  1.4788E-01
  1.5465E-01  2.6272E-01  1.3984E-01  1.5977E-01  2.3170E-01  1.6282E-01  2.3170E-01  1.4788E-01
  1.4855E-01  2.5235E-01  1.3432E-01  1.5346E-01  2.2256E-01  1.5640E-01  2.2256E-01  1.4204E-01
  1.3659E-01  2.3203E-01  1.2351E-01  1.4110E-01  2.0464E-01  1.4381E-01  2.0464E-01  1.3060E-01
  1.1924E-01  2.0256E-01  1.0782E-01  1.2318E-01  1.7865E-01  1.2554E-01  1.7865E-01  1.1401E-01
  9.7196E-02  1.6511E-01  8.7872E-02  1.0039E-01  1.4562E-01  1.0234E-01  1.4562E-01  9.2931E-02
  7.1411E-02  1.2134E-01  6.4534E-02  7.3759E-02  1.0702E-01  7.5197E-02  1.0702E-01  6.8284E-02
  4.5633E-02  7.6156E-02  4.1014E-02  4.6063E-02  6.7287E-02  4.8062E-02  6.7287E-02  4.2657E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 25      COL 26      COL 27      COL 28      COL 29      COL 30      COL 31      COL 32   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.8914E-02  4.8062E-02  4.8062E-02  4.0631E-02  4.9912E-02  7.6156E-02  3.9734E-02  4.5633E-02
  7.7011E-02  7.5197E-02  7.5197E-02  6.3750E-02  7.9914E-02  1.2134E-01  6.1715E-02  7.1411E-02
  1.0486E-01  1.0234E-01  1.0234E-01  8.6788E-02  1.0877E-01  1.6511E-01  8.3963E-02  9.7196E-02
  1.2867E-01  1.2554E-01  1.2554E-01  1.0648E-01  1.3345E-01  2.0256E-01  1.0300E-01  1.1924E-01
  1.4739E-01  1.4381E-01  1.4381E-01  1.2197E-01  1.5288E-01  2.3203E-01  1.1798E-01  1.3659E-01
  1.6030E-01  1.5640E-01  1.5640E-01  1.3266E-01  1.6627E-01  2.5235E-01  1.2831E-01  1.4855E-01
  1.6688E-01  1.6282E-01  1.6282E-01  1.3810E-01  1.7310E-01  2.6272E-01  1.3358E-01  1.5465E-01
  1.6688E-01  1.6282E-01  1.6282E-01  1.3810E-01  1.7310E-01  2.6272E-01  1.3358E-01  1.5465E-01
  1.6030E-01  1.5640E-01  1.5640E-01  1.3266E-01  1.6627E-01  2.5235E-01  1.2831E-01  1.4855E-01
  1.4739E-01  1.4381E-01  1.4381E-01  1.2197E-01  1.5288E-01  2.3203E-01  1.1798E-01  1.3659E-01
  1.2867E-01  1.2554E-01  1.2554E-01  1.0648E-01  1.3345E-01  2.0256E-01  1.0300E-01  1.1924E-01
  1.0486E-01  1.0234E-01  1.0234E-01  8.6788E-02  1.0877E-01  1.6511E-01  8.3963E-02  9.7196E-02
  7.7011E-02  7.5197E-02  7.5197E-02  6.3750E-02  7.9914E-02  1.2134E-01  6.1715E-02  7.1411E-02
  4.8914E-02  4.8062E-02  4.8062E-02  4.0631E-02  4.9912E-02  7.6156E-02  3.9734E-02  4.5633E-02
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 33      COL 34      COL 35      COL 36      COL 37      COL 38      COL 39      COL 40   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
